Review phase,Page,Primary audience,Assumed state,Formal action,Personal-risk context,Test fit,Variant,Urgency modifier,Block size,Alternative primary CTA,Confidence,Reviewed,Notes
1.5 Rescue and restructuring,/company-rescue-solutions/company-voluntary-arrangement/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
1.5 Rescue and restructuring,/company-rescue-solutions/company-voluntary-arrangement/director-guarantees-in-a-cva/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
1.5 Rescue and restructuring,/company-rescue-solutions/company-voluntary-arrangement/making-employees-redundant-cva/,Director,Serious distress,None,No,Secondary,serious_position,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,The page addresses a specific procedure or consequence; keep direct or page-specific advice primary and use the test as a compact diagnostic.
1.5 Rescue and restructuring,/company-rescue-solutions/company-voluntary-arrangement/pros-and-cons/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
1.5 Rescue and restructuring,/company-rescue-solutions/company-voluntary-arrangement/use-a-cva-to-close-a-company/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
1.5 Rescue and restructuring,/company-rescue-solutions/company-voluntary-arrangement/vs-liquidation/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
1.5 Rescue and restructuring,/company-rescue-solutions/company-voluntary-arrangement/what-happens-if-a-cva-fails-mid-term/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
1.5 Rescue and restructuring,/company-rescue-solutions/company-voluntary-arrangement/when-a-cva-fails/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
1.5 Rescue and restructuring,/company-rescue-solutions/partnership-voluntary-arrangements/,Mixed,Serious distress,None,No,None,none,none,None,Partnership advice,High,ChatGPT — 6 Aug 2026,"The procedure is for a partnership, LLP or individual rather than a limited company, so the company test is not suitable."
1.5 Rescue and restructuring,/company-rescue-solutions/pre-packs/,Director,Serious distress,None,No,Secondary,serious_position,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,The page addresses a specific procedure or consequence; keep direct or page-specific advice primary and use the test as a compact diagnostic.
1.5 Rescue and restructuring,/insolvency/rescue-your-business-from-insolvency/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
1.5 Rescue and restructuring,/liquidation/cva-vs-strike-off-vs-liquidation/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
1.6 Personal liability,/advice/directors-disqualification/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
1.6 Personal liability,/advice/directors-personal-guarantees/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
1.6 Personal liability,/advice/misfeasance/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
1.6 Personal liability,/advice/overdrawn-directors-loan-accounts/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
1.6 Personal liability,/advice/personal-guarantee-insurance/,Mixed,Uncertain,None,Yes,None,none,none,None,Personal-liability guidance,High,ChatGPT — 6 Aug 2026,The audience is mixed and the page’s main task is not to assess the reader’s own company; use a page-specific route instead.
1.6 Personal liability,/advice/personal-liability-for-cbils-loans/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
1.6 Personal liability,/advice/the-risks-of-signing-a-personal-guarantee/,Mixed,Uncertain,None,Yes,None,none,none,None,Personal-liability guidance,High,ChatGPT — 6 Aug 2026,The audience is mixed and the page’s main task is not to assess the reader’s own company; use a page-specific route instead.
1.6 Personal liability,/advice/unenforceable-personal-guarantee/,Mixed,Uncertain,None,Yes,None,none,none,None,Personal-liability guidance,High,ChatGPT — 6 Aug 2026,The audience is mixed and the page’s main task is not to assess the reader’s own company; use a page-specific route instead.
1.6 Personal liability,/advice/writing-off-a-directors-loan-account/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
1.6 Personal liability,/insolvency/personal-liability-spouses-business-debts/,Mixed,Uncertain,None,Yes,None,none,none,None,Personal-liability guidance,High,ChatGPT — 6 Aug 2026,The audience is mixed and the page’s main task is not to assess the reader’s own company; use a page-specific route instead.
1.6 Personal liability,/insolvency/what-is-wrongful-trading/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
1.6 Personal liability,/liquidation/director-conduct-review/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
1.6 Personal liability,/liquidation/whats-the-risk-of-being-disqualified-as-a-director/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
2.1 Warning signs and insolvency tests,/insolvency/insolvency-test/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
2.1 Warning signs and insolvency tests,/insolvency/what-are-the-warning-signs-of-an-insolvent-company/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
2.2 Cash flow,/company-cash-flow-problems/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
2.2 Cash flow,/company-cash-flow-problems/biggest-struggles-for-small-business-owners/,Director,Uncertain,None,No,Secondary,early_check,none,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page is broader or more informational; use the test as a compact secondary check rather than the main action.
2.2 Cash flow,/company-cash-flow-problems/cant-afford-to-pay-suppliers-what-are-the-options/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
2.2 Cash flow,/company-cash-flow-problems/cant-afford-to-repay-business-loan/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
2.2 Cash flow,/company-cash-flow-problems/company-is-having-financial-difficulties/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
2.2 Cash flow,/company-cash-flow-problems/when-employers-cant-afford-redundancy-payments/,Director,Serious distress,None,No,Secondary,serious_position,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,The page addresses a specific procedure or consequence; keep direct or page-specific advice primary and use the test as a compact diagnostic.
2.2 Cash flow,/company-cash-flow-problems/why-debt-is-not-always-a-bad-thing-for-your-business/,Mixed,Uncertain,None,No,None,none,none,None,Page-specific guidance,High,ChatGPT — 6 Aug 2026,The page is general company information without a clear financial-distress decision; the test would be an interruption rather than help.
2.3 Stopping trade,/insolvency/cease-trading/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
2.3 Stopping trade,/liquidation/when-should-a-director-stop-trading/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
2.4 Director duties,/liquidation/company-strike-off-and-dissolution/directors-responsibilities-after-a-company-is-struck-off/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
2.5 Creditor pressure,/advice/directors-duties-to-creditors/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
2.5 Creditor pressure,/county-court-judgements/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
2.5 Creditor pressure,/insolvency/creditor-negotiations/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
2.5 Creditor pressure,/insolvency/creditors-guides-to-insolvency-practitioners-fees/,Creditor,Already in process,None,No,None,none,none,None,Creditor guidance,High,ChatGPT — 6 Aug 2026,"The primary reader is a creditor rather than a director assessing their own company, so the company test is not suitable."
2.5 Creditor pressure,/insolvency/creditors-meeting/,Mixed,Already in process,None,No,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
2.5 Creditor pressure,/insolvency/dealing-with-creditor-pressure/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
