severity,file,term,first_use_char_offset,occurrences,gloss_anywhere_on_page,first_use_in_table_or_callout,first_use_in_faq,term_load_bearing_for_page,first_use_context
HIGH,20268_retail-industry-insolvency-trends.html,preference (unlawful),13076,2,no,yes,no,no,"'t fund autumn quarter rent Dated board minutes, IP advice on file, defined stop-date Preferences (s.239 IA 1986) Paying a connected supplier or family-owned landlord ahead of HMRC and trade creditors"
HIGH,20268_retail-industry-insolvency-trends.html,wrongful trading,12887,2,no,yes,no,no,e day of appointment. Risk What triggers it in retail What protects you Wrongful trading (s.214 IA 1986) Continuing to order spring stock once you knew the company couldn't fund autumn quarter rent
HIGH,20380_making-employees-redundant-cva.html,National Insurance Fund,9899,1,no,no,no,yes,"ers liquidation, employees made redundant during the arrangement can still claim from the National Insurance Fund via the RPS for any statutory entitlements not yet paid. The liquidator will also asse"
HIGH,20380_making-employees-redundant-cva.html,Schedule 6,6637,1,no,no,no,yes,"ages owed to employees at the time the CVA begins are treated as preferential debts under Schedule 6 of the Insolvency Act 1986, subject to a cap of £800 per employee. Any amount above £800 in outstan"
HIGH,20681_can-director-criminal-record.html,misfeasance,1654,2,no,no,no,no,"You cannot get a criminal record for wrongful trading (section 214, civil only), misfeasance (section 212, civil only), being a director of a company that enters insolvency, or being disqualified."
HIGH,21122_shareholders-liable-company-debts.html,misfeasance,7123,1,no,yes,no,no,"ble as a shareholder, but director risks may apply Wrongful trading, fraudulent trading, misfeasance, overdrawn loan account Shareholder who signed a personal guarantee Yes, under the guarantee Liabil"
HIGH,21122_shareholders-liable-company-debts.html,transaction at an undervalue,15171,1,no,yes,no,no,"ue, not ordinary liability Assets moved to a connected party before failure Possible transaction at undervalue or preference The liquidator can challenge and unwind it Depends on the facts and your ro"
HIGH,22277_insolvent-company-owes-me-money.html,advertised / advertisement (notice sense),1192,1,no,no,no,no,"e London Gazette. A formal notice of liquidation, administration, or receivership must be advertised there. Then cross-reference with Companies House: the filing history will show an AM01 (administrat"
HIGH,22277_insolvent-company-owes-me-money.html,the Gazette,1100,2,no,no,no,no,"Insolvent Before you file anything, check the position. Search the debtor's name on the London Gazette. A formal notice of liquidation, administration, or receivership must be advertised there. Then c"
HIGH,22554_limited-company-bankruptcy.html,wrongful trading,2888,7,no,yes,no,no,"lsory) Discharged after 12 months (usually) What survives Personal guarantees, DLA, wrongful trading orders Most debts written off at discharge We stress this because directors who confuse the two"
HIGH,23698_how-much-does-liquidation-cost.html,preference (unlawful),10394,2,no,yes,no,no,"at the first call. It will be found regardless. Disputed transactions Where possible preferences or transactions at undervalue are identified, the investigation lengthens and the conduct report become"
HIGH,23698_how-much-does-liquidation-cost.html,the Gazette,4269,1,no,yes,no,no,"In addition to the practitioner's fee, the case may incur an insolvency bond, required Gazette notices, postage and other external expenses. For a straightforward Company Debt CVL, these normally tota"
HIGH,24434_what-is-a-freezing-order-or-injunction.html,served / service,548,1,no,no,no,no,"risk you will dissipate assets before the claimant gets judgment. If you have just been served one, the calendar matters. You normally have seven days to the return-date hearing at which the order is "
HIGH,24760_what-are-fixed-and-floating-charges.html,debenture,425,11,no,no,no,yes,ause most do not understand what their bank actually holds over the company. You signed a debenture when you took out the facility. That debenture almost certainly contains both a fixed charge over sp
HIGH,25310_validation-order.html,advertised / advertisement (notice sense),53,6,no,no,no,no,It is Wednesday morning. The winding-up petition was advertised in the London Gazette yesterday. The accounts team logs in to approve the BACS run for next week's payroll an
HIGH,25310_validation-order.html,presented (vs served),416,3,no,no,no,no,"mechanically, is section 127 of the Insolvency Act 1986. From the moment the petition is presented, and certainly once it has been advertised, any disposition of company property is void unless the co"
HIGH,25310_validation-order.html,the Gazette,67,3,no,no,no,no,It is Wednesday morning. The winding-up petition was advertised in the London Gazette yesterday. The accounts team logs in to approve the BACS run for next week's payroll and the Barclays interfa
HIGH,26298_misfeasance.html,wrongful trading,1673,7,no,no,no,no,d themselves at the company's expense. The claim is separate from and in addition to any wrongful trading or disqualification proceedings. Common Grounds for Misfeasance Claims Against Directors We
HIGH,26902_biggest-struggles-for-small-business-owners.html,statutory demand,1637,1,no,no,no,no,"to the Small Business Commissioner for persistent late-payers. Formal recovery , statutory demand, county court claim, winding-up petition, where informal chasing has run its course. The mistake wi"
HIGH,38597_losing-house-if-company-goes-bust.html,wrongful trading,1424,5,no,no,no,no,"r property, then applies for an order for sale. Slower but reaches the same outcome. A wrongful trading contribution order is made against you and you cannot pay. The liquidator enforces the order aga"
HIGH,42739_what-happens-if-a-company-cannot-pay-its-debts.html,misfeasance,10930,2,no,yes,no,no,r disqualification CDDA 1986 Up to 15 years' ban from directorship for unfit conduct Misfeasance s.212 Insolvency Act 1986 Personal liability for breach of fiduciary duty to creditors What Dire
HIGH,44055_cant-pay-staff-wages.html,Time to Pay,5426,1,no,no,no,yes,Renegotiate supplier and tax payment terms to free up cash for payroll. HMRC Time to Pay arrangements can release cash quickly where the underlying business is sound. Supplier deferral risks credit
HIGH,46222_what-happens-to-directors-in-liquidation.html,CVL,5795,1,no,no,no,yes,who assume wrongful trading claims are rare. They are not. The liquidator assesses every CVL and compulsory liquidation for potential wrongful trading. The claims that proceed to court tend to be the 
HIGH,46222_what-happens-to-directors-in-liquidation.html,misfeasance,1356,4,no,no,no,no,"examination if required. After liquidation, you may face wrongful trading claims, misfeasance claims, personal guarantee enforcement, and director disqualification proceedings. The Insolvency Service "
HIGH,46674_what-is-a-creditor.html,preferential debt / creditor,483,7,no,no,no,yes,and the Insolvency Rules 2016 define those categories precisely. The difference between a preferential claim and an unsecured one can be the difference between 8 pence in your pound and nothing at all
HIGH,47772_insolvency-act-1986.html,disposition,1028,3,no,no,no,no,"case law, section 214 wrongful trading, section 123 the insolvency test, section 127 void dispositions, you will find links through to our detailed guides. The aim is to let you navigate the Act with "
HIGH,47772_insolvency-act-1986.html,moratorium,534,6,no,no,no,no,"about has its source in this Act: wrongful trading liability, compulsory winding-up, the moratorium in administration, the avoidance of transactions at undervalue, the ranking of creditors in the dist"
HIGH,48170_creditors-guides-to-insolvency-practitioners-fees.html,officeholder / office-holder,183,6,no,no,no,no,"onths later, the IP’s progress report lands in your inbox. Asset realisations of £58,000. Office-holder remuneration of £31,400. Disbursements of £4,200. Estimated dividend to unsecured creditors: 4p "
HIGH,49618_creditors-meeting.html,preferential debt / creditor,7348,3,no,no,no,yes,"sworn under section 99, sets out assets at estimated realisable value, secured creditors, preferential creditors, and a full unsecured creditor list. It is the document creditors interrogate. Get it w"
HIGH,52771_what-is-the-companies-act-2006.html,wrongful trading,1333,4,no,no,no,no,"act in the interests of creditors, not shareholders. This is the duty shift that creates wrongful trading exposure . The Seven General Duties of a Company Director Section 171: Act within powers. You"
HIGH,55381_writing-off-a-directors-loan-account.html,preference (unlawful),653,3,no,no,no,no,"near insolvency , the write-off itself can be unwound by a liquidator and reassessed as a preference or a distribution that should not have happened. So your useful question is not ""can I write this o"
HIGH,65483_company-administration.html,Official Receiver,10449,1,no,yes,no,no,"sory liquidation A creditor has already petitioned the court. Director loses control; Official Receiver runs the case. Compulsory guide Informal creditor negotiation Few creditors, all open to instalm"
HIGH,65483_company-administration.html,Schedule B1,1179,6,no,yes,no,yes,"Administration at a Glance What it is: a formal insolvency process under Part II and Schedule B1 of the Insolvency Act 1986, run by a licensed administrator under court protection. Used when: the busi"
HIGH,65483_company-administration.html,debenture,3346,1,no,yes,no,no,"Qualifying floating charge holder The lender (typically a bank with an all-assets debenture) appoints directly out of court. Used when the bank wants its own choice of administrator, often where it h"
HIGH,65483_company-administration.html,floating charge,3273,1,no,yes,no,no,on in practice. Used when the directors decide rescue is the right call. Qualifying floating charge holder The lender (typically a bank with an all-assets debenture) appoints directly out of court. Us
HIGH,65614_closing-a-limited-company.html,wrongful trading,11396,2,no,yes,no,no,Waiting too long to start a CVL Each week of further trading while insolvent grows wrongful trading exposure under section 214 IA 1986. Missing director redundancy Directors with a real employment con
HIGH,66834_what-is-a-pre-pack-administration.html,Schedule B1,9799,2,no,no,no,yes,"circumstances. Creditors can challenge the administrator's conduct under paragraph 74 of Schedule B1, and the court can order remedies including compensation if the administrator acted unfairly. Unwin"
HIGH,67438_dealing-with-an-hmrc-winding-up-petition.html,Official Receiver,1307,6,no,no,no,no,"tcome, if granted, is compulsory liquidation and the immediate transfer of control to the Official Receiver. When an HMRC Winding Up Petition Applies HMRC files a petition when the unpaid tax exceeds "
HIGH,67438_dealing-with-an-hmrc-winding-up-petition.html,adjournment / adjourn,11837,2,no,no,no,yes,"of why the previous default will not repeat. Where granted, the petition is typically adjourned, not withdrawn, and reactivates if you miss an instalment. For most directors, a TTP under petition is"
HIGH,67438_dealing-with-an-hmrc-winding-up-petition.html,advertised / advertisement (notice sense),376,10,no,no,no,no,". From the day the petition is served, you have roughly seven days before HMRC can advertise it in the London Gazette. Once that advertisement runs, banks freeze the company's accounts within hours,"
HIGH,67438_dealing-with-an-hmrc-winding-up-petition.html,distraint / distrain,1585,1,no,no,no,no,"iled. Those earlier steps usually include a Time to Pay rejection, a statutory demand, distraint, or a visit from field-force collectors. PAYE, VAT and Corporation Tax arrears trigger the most petiti"
HIGH,67438_dealing-with-an-hmrc-winding-up-petition.html,preference (unlawful),1715,3,no,no,no,no,"ollectors. PAYE, VAT and Corporation Tax arrears trigger the most petitions. Crown preference, reinstated on 1 December 2020, gives HMRC priority on those taxes in any liquidation that follows, which "
HIGH,67438_dealing-with-an-hmrc-winding-up-petition.html,served / service,2975,2,no,no,no,yes,"der Schedule B1 paragraph 22. Can You Stop an HMRC Winding Up Petition Once It Has Been Served? Legal Position on Stopping an HMRC Winding Up Petition Yes, but the legal routes narrow fast."
HIGH,67438_dealing-with-an-hmrc-winding-up-petition.html,statutory demand,1567,2,no,no,no,no,"very steps have failed. Those earlier steps usually include a Time to Pay rejection, a statutory demand, distraint, or a visit from field-force collectors. PAYE, VAT and Corporation Tax arrears trigge"
HIGH,67438_dealing-with-an-hmrc-winding-up-petition.html,the Gazette,392,5,no,no,no,no,"e day the petition is served, you have roughly seven days before HMRC can advertise it in the London Gazette. Once that advertisement runs, banks freeze the company's accounts within hours, suppliers "
HIGH,67962_what-is-a-statutory-demand-against-a-company.html,restrain / restraining advertisement,1343,3,no,no,no,no,through a summary application. The only corporate remedy for dispute is an injunction to restrain a petition. Cost-efficient for creditors . Issuing a statutory demand costs the creditor no court fee
HIGH,68101_dealing-with-creditor-pressure.html,MVL,19185,1,no,yes,no,no,"iable; directors want a controlled, statutory wind-down. Solvent surplus available (use MVL instead); ongoing trade can be rescued via CVA. CVL guide What Should Directors Do Next?"
HIGH,68111_what-to-do-about-customer-insolvency.html,the Gazette,1209,1,no,no,no,no,Days After a Customer Goes Insolvent Confirm the formal status on Companies House and the Gazette. Pull every open invoice and check whether the supply contract carries a retention of title clause. St
HIGH,68115_rescue-your-business-from-insolvency.html,misfeasance,11804,2,no,yes,no,no,Act 1986 finds unfit conduct Disqualification 2 to 15 years; cannot act as a director Misfeasance (IA 1986 s.212) Breach of fiduciary or other duty causing loss to the company Court order to repay or 
HIGH,68117_how-to-save-a-struggling-business.html,misfeasance,9507,2,no,yes,no,no,"wn debts, trading on) Take advice early; the timing of the call is what gets recorded Misfeasance (s.212 IA 1986) Breach of fiduciary duty causing loss to creditors Decisions in writing, on the record"
HIGH,68120_can-you-sell-your-insolvent-company.html,CVA,1740,1,no,no,no,no,"The formal processes, administration pre-pack, asset sale in liquidation, and (rarely) a CVA-based sale, exist to put the transaction inside a framework where a court, an officeholder, and a creditor "
HIGH,68120_can-you-sell-your-insolvent-company.html,transaction at an undervalue,1560,3,no,no,no,no,"ning you are thinking ""sale"". The liquidator appointed six months later will be thinking ""transaction at undervalue"". Those are two different readings of the same handshake. The formal processes, admi"
HIGH,68134_creditor-negotiations.html,MVL,16340,2,no,yes,no,no,ution under Schedule 6; unsecured creditors often single-digit pence. CVL guide MVL Solvent surplus available; tax-efficient closure. Full creditor payment plus distribution to shareholders
HIGH,68134_creditor-negotiations.html,Schedule 6,16262,1,no,yes,no,no,VL Underlying business non-viable; controlled wind-down preferred. Distribution under Schedule 6; unsecured creditors often single-digit pence. CVL guide MVL Solvent surplus available; tax-effic
HIGH,68134_creditor-negotiations.html,preferential debt / creditor,15917,1,no,yes,no,yes,ment freeze needed; rescue or sale possible. Outcome ranked under preferential and non-preferential creditor priority. Administration guide Pre-pack administration Speed protects business value; SIP 1
HIGH,68134_creditor-negotiations.html,wrongful trading,16966,3,no,yes,no,no,Risk Why It Matters During Negotiations What Directors Should Do Wrongful trading (s.214 IA 1986) Negotiating while plainly insolvent extends the period over which fresh credit is taken. Ea
HIGH,68153_advice-hub.html,misfeasance,906,1,no,no,no,no,What is limited liability? What the protection actually covers Misfeasance The civil claim liquidators use most Personal Guarantees The risks of sig
HIGH,68189_how-to-legally-take-money-out-of-a-limited-company.html,wrongful trading,79,1,no,no,no,no,"The most common way we see directors get themselves into trouble is not fraud, wrongful trading, or any of the louder insolvency offences. It is sloppy extraction. A withdrawal your accountant meant t"
HIGH,68192_preventing-company-director-disputes.html,CVL,1217,3,no,no,no,no,"s insolvent, letting the insolvency practitioner make the decision for you by entering a CVL or administration . Common Causes of Director Disputes in Financially Distressed Companies Dis"
HIGH,68216_what-is-a-directors-responsibility-for-accountancy-errors.html,wrongful trading,8255,1,no,no,no,yes,"have also drawn on the Insolvency Act 1986 (section 212 on misfeasance and section 214 on wrongful trading), the Company Directors Disqualification Act 1986 (section 6 on unfit conduct), and current C"
HIGH,68221_get-free-business-debt-advice.html,wrongful trading,903,3,no,no,no,no,"ion itself, because every week of delay narrows your options and increases your personal wrongful trading exposure . Quick Answer: Where to Get Free Business Debt Advice Licensed insolvency practiti"
HIGH,68356_advantages-and-disadvantages.html,Schedule B1,1555,2,no,no,no,no,"strator immediately on appointment, often within hours. The legal framework sits in Schedule B1 of the Insolvency Act 1986 . The administrator is a licensed insolvency practitioner whose statutory obj"
HIGH,68356_pre-pack-advantages-and-disadvantages.html,Schedule B1,1555,2,no,no,no,no,"strator immediately on appointment, often within hours. The legal framework sits in Schedule B1 of the Insolvency Act 1986 . The administrator is a licensed insolvency practitioner whose statutory obj"
HIGH,70501_preferential-payments-during-insolvency.html,Schedule 6,8549,4,no,no,no,yes,"worth separating, because the language confuses directors. ""Preferential creditor"" under Schedule 6 IA 1986 is a statutory ranking. Employees rank as ordinary preferential (capped at £800 in wages arr"
HIGH,71514_directors-duties-to-creditors.html,misfeasance,430,3,no,no,no,no,"ors every week because it is the legal foundation of almost every wrongful trading claim, misfeasance action, and disqualification case we see. The Supreme Court confirmed in BTI 2014 LLC v Sequana SA"
HIGH,73778_alternatives-to-company-liquidation.html,CVL,8435,1,no,no,no,yes,"ratorium. If the business model is broken, none of the rescue routes will hold and a CVL on your terms is the cleaner exit. The first call establishes which applies. If you are not sure which c"
HIGH,74264_challenge-a-statutory-demand.html,served / service,712,3,no,no,no,yes,"out the real, time-critical options available to your company once a statutory demand has been served: when you can seek an injunction, how you negotiate payment or compounding, and the specific mista"
HIGH,74382_when-employers-cant-afford-redundancy-payments.html,National Insurance Fund,403,3,no,no,no,yes,"ments Service, a government-backed safety net that pays statutory entitlements out of the National Insurance Fund when an employer has reached formal insolvency. The catch, as ever, is in the qualifyi"
HIGH,74390_when-a-cva-fails.html,wrongful trading,785,7,no,no,no,no,tion. Directors who continue trading without taking advice face the additional risk of wrongful trading under section 214 IA 1986. Read on for a clear breakdown of what happens legally and practically
HIGH,74891_secured-vs-unsecured-creditors.html,debenture,2160,5,no,no,no,yes,"mechanical, not commercial. A high-street bank that lent £400,000 without registering the debenture inside 21 days is unsecured; a stationery supplier with a competent ROT clause and identifiable stoc"
HIGH,74891_secured-vs-unsecured-creditors.html,floating charge,348,19,no,no,no,yes,"terms. The bank, which sold its overdraft as ""secured"", finds it never registered the floating charge at Companies House inside the 21-day window. By the time you read the Statement of Affairs, the su"
HIGH,76323_insolvency-advice-for-directors.html,statutory demand,1246,1,no,no,no,no,insolvency under section 123 of the Insolvency Act 1986 . Not when HMRC issues a statutory demand. Not when the bank pulls the overdraft. The day you are deciding between PAYE and a key supplier is th
HIGH,7665_company-rescue-solutions.html,CVL,835,4,no,no,no,no,"l levers (HMRC Time to Pay, creditor negotiation), and the route-of-last-resort closures (CVL, MVL) that sometimes serve directors better than a doomed rescue attempt. We are direct about the trad"
HIGH,7669_liquidation.html,Redundancy Payments Service,17366,4,no,yes,no,no,"he full CVL fee in many cases Statutory weekly cap £751 from 6 April 2026. Funded by the Redundancy Payments Service, not company cash. Time from instruction to liquidation start 2 to 4 weeks Faster w"
HIGH,7669_liquidation.html,moratorium,21738,1,no,yes,no,no,ontrol; business may continue to trade; a sale or restructuring plan follows. Statutory moratorium pauses creditor action; outcome depends on the saleable value of the business. Company Voluntary Arra
HIGH,7669_liquidation.html,served / service,2985,1,no,yes,no,no,"y route What to do next You cannot pay your debts, but no winding-up petition has been served CVL Take advice before you pay any single creditor A winding-up petition is threatened or already serve"
HIGH,7674_creditors-voluntary-liquidation.html,misfeasance,16649,1,no,yes,no,no,"reasonably be avoided, and what steps were then taken to minimise creditor losses. Misfeasance Section 212 IA 1986 Keep money and property properly applied and recorded. The liquidator can ask the cou"
HIGH,7674_creditors-voluntary-liquidation.html,moratorium,21004,2,no,yes,no,no,y under supervision. CVA guide Administration Business has rescuable value or moratorium needed urgently. Administrator takes control; fees come out of the estate ahead of creditors. Administra
HIGH,7685_company-voluntary-arrangement.html,preferential debt / creditor,1491,1,no,no,no,no,"t it cannot touch a secured creditor (a bank with a charge over company assets, say) or a preferential creditor without their express consent. They keep their rights over any collateral unless they ag"
HIGH,7687_winding-up-petitions.html,restrain / restraining advertisement,9742,4,no,yes,no,no,e hearing. Source: . Both limbs matter. The first is the gap in which urgent work to restrain advertisement is realistically possible. There is also a certificate the creditor has to file confir
HIGH,7687_winding-up-petitions.html,substitution (of petitioner),18198,2,no,yes,no,yes,"ven permission to withdraw, where the procedural requirements for that have been met. Substitution or support Another creditor backs the petition, or takes the first creditor's place, and the case car"
HIGH,76920_hmrc-penalties-investigations.html,Time to Pay,7708,3,no,no,no,yes,"nquiry is ongoing, compounds penalty exposure and signals cash-flow insolvency . TTP breach or refusal during the enquiry, see What Happens If HMRC Rejects Your Time to Pay . Director'"
HIGH,77205_hmrc-debt-enforcement-hub.html,distraint / distrain,1651,6,no,no,no,yes,"(No. 2) Act 2015. See What Happens If HMRC Freezes Your Business Bank Account . Distraint (Taking Control of Goods) , certified agents attend the premises. See Distraint Order Notice , Controlled G"
HIGH,77693_insolvency-news-commentary.html,preferential debt / creditor,394,2,no,no,no,no,change how you should think about your own position. HMRC's reinstatement as a secondary preferential creditor in December 2020 has shrunk floating-charge recoveries. The Supreme Court's BTI v Sequana
HIGH,77883_liquidation-vs-dissolution-strike-off.html,the Gazette,1822,5,no,yes,no,no,"13 filing fee (DS01 form) £3,500 + VAT (MVL) or £5,000+ (CVL) Timeline 3 months from Gazette notice 6 to 18 months typically Creditor protection None beyond the Gazette notice Full statutory proce"
HIGH,77916_voluntary-vs-compulsory-liquidation.html,advertised / advertisement (notice sense),2051,4,no,yes,no,no,Public record Filed at Companies House Filed at Companies House plus London Gazette advertisement Perception Director acted responsibly Creditor forced the issue If a petition has been served b
HIGH,77916_voluntary-vs-compulsory-liquidation.html,the Gazette,2036,5,no,yes,no,no,ths to 3+ years Public record Filed at Companies House Filed at Companies House plus London Gazette advertisement Perception Director acted responsibly Creditor forced the issue If a petition has
HIGH,78129_directors-conduct-report-2.html,wrongful trading,3350,3,no,no,no,yes,"eposits, or incur liabilities after the point where insolvency was probable? This is the wrongful trading territory under Section 214. Cooperation with the liquidator. Did you attend meetings, answer "
HIGH,78578_intellectual-property-and-trading-assets-in-liquidation.html,CVL,953,4,no,no,no,yes,"tion. The ""IP I created is mine"" assumption is the misunderstanding that converts a CVL into a wider misfeasance investigation. Quick Answer on IP and Trading Assets in Liquidation"
HIGH,78578_intellectual-property-and-trading-assets-in-liquidation.html,MVL,1237,1,no,no,no,no,"143 of the Insolvency Act 1986 , with operative sections varying by procedure: MVL : s.91 IA 1986 CVL : s.103 IA 1986 Compulsory liquidation : s.144 IA 1986 What vests: trademark"
HIGH,78578_intellectual-property-and-trading-assets-in-liquidation.html,misfeasance,971,4,no,no,no,no,"P I created is mine"" assumption is the misunderstanding that converts a CVL into a wider misfeasance investigation. Quick Answer on IP and Trading Assets in Liquidation Company IP and trading ass"
HIGH,78613_how-to-prove-your-debt-in-company-liquidation.html,CVL,1977,1,no,no,no,yes,"claimed. This should be the amount owed at the date of the winding-up resolution (for a CVL) or the date of the winding-up order (for compulsory), including any contractual interest accrued to that da"
HIGH,78673_liquidators-powers-and-duties.html,wrongful trading,3805,4,no,no,no,yes,"or the business as a going concern, by private treaty or auction. Pursue legal claims: wrongful trading (s.214), fraudulent trading (s.213), misfeasance (s.212), transactions at undervalue (s.238), an"
HIGH,78771_liquidating-a-charity-or-non-profit.html,preference (unlawful),1519,3,no,yes,no,no,6 provisions as any limited company; this includes wrongful trading under section 214 and preference claims under section 239. The Charity Commission adds a second layer: trustees must notify the Co
HIGH,78797_what-happens-if-a-director-resigns-before-liquidation.html,CVL,8583,3,no,no,no,yes,t will note the timing of your resignation. A director who resigned two weeks before the CVL was initiated raises more questions than a director who stayed and cooperated with the process. In ou
HIGH,78797_what-happens-if-a-director-resigns-before-liquidation.html,misfeasance,1572,5,no,no,no,no,"aken while you were a director. The liquidator can pursue wrongful trading claims, misfeasance claims, and transaction avoidance claims against former directors. The Insolvency Service can seek a disq"
HIGH,78812_redundancy-payments-for-directors-in-an-mvl.html,MVL,48,40,no,no,no,yes,"If you are closing a solvent company through an MVL (a form of voluntary liquidation ), you may be entitled to a statutory redundancy payment as a director-empl"
HIGH,78825_paying-staff-but-not-hmrc-before-liquidation.html,preference (unlawful),162,13,no,no,no,no,"t just a moral instinct. It is a legal risk. The liquidator can claw that payment back as a preference, and you personally may have to explain why you chose one creditor over another when you knew the"
HIGH,79246_can-i-liquidate-my-company-with-a-bounce-back-loan.html,preferential debt / creditor,1375,2,no,no,no,no,"any other unsecured debt in the liquidation, ranking alongside trade creditors and behind preferential claims. Because the loan is 100% government-backed, the lender claims the outstanding balance fro"
HIGH,79295_company-voluntary-arrangement-vs-administration-which-to-choose.html,CVL,1627,1,no,yes,no,no,te Outcome if it fails Usually transitions to liquidation Terminates; company enters CVL or compulsory liquidation When Administration Beats a Company Voluntary Arrangement Adminis
