detail_id,detail,category,provider,card_name,value,source_urls,mentioned_by,article_status,recommended_display_format,recommended_action,priority,needs_primary_verification,source_required,last_checked_required,editorial_note,verification_status,verified_source_url,verified_quote,verify_date,evidence_tier,notes
n11,The Insolvency Service can bring disqualification proceedings against directors if unfit conduct is identified.,Legal / Regulatory,Director Disqualification,Company Directors Disqualification Act 1986,,,gemini · risk|gemini · usecase-3,missing,source_note,,medium,True,True,True,,verified,https://www.gov.uk/government/publications/company-directors-disqualification-act-1986-and-failed-companies/company-directors-disqualification-act-1986-and-failed-companies,The Insolvency Service may bring proceedings on behalf of the Secretary of State if the alleged unfit conduct falls within its remit and it is instructed (authorised) to do so.,2026-06-10,grounded,"This claim is directly supported by official guidance from GOV.UK. The Insolvency Service has a general duty to deter unfit conduct and can initiate disqualification proceedings, either leading to a court order or a disqualification undertaking from the director. This power is exercised under the Company Directors Disqualification Act 1986 (CDDA)."
n12,HMRC can issue a Personal Liability Notice (PLN) if a director's failure to ensure the company pays its tax debts was due to the director's fraud or neglect.,Director Liability / Personal Risk,HMRC,Personal Liability Notice (PLN),,,gemini · risk|gemini · usecase-3,missing,warning_callout,,medium,True,True,True,,verified,https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim12203,"A Personal Liability Notice (PLN) can be issued to any individual who was acting as an officer of the body corporate at the time of the failure to pay the National Insurance contributions due under statute, and where HMRC is of the opinion that the failure to pay was attributable to the fraud or neglect by that individual.",2026-06-10,grounded,"This information is derived from HMRC's internal guidance (NIM12203, NIM12204, DANSP20000) on GOV.UK, which refers to Section 121C of the Social Security Administration Act 1992. The claim is specifically verified for National Insurance Contributions (NICs). While other tax debts like PAYE and VAT are sometimes mentioned in relation to personal liability, the statutory basis for Personal Liability Notices (PLNs) for fraud or neglect is explicitly confirmed for NICs under the referenced legislation."
n13,"Personal Liability Notices (PLNs) can be issued for unpaid PAYE, National Insurance contributions, VAT penalties, and Construction Industry Scheme (CIS) deductions.",Creditor / HMRC Treatment,HMRC,Personal Liability Notice (PLN),,,gemini · risk|gemini · usecase-3,missing,definition_block,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached
n14,Failure to cooperate fully with an appointed liquidator can lead to a warrant for arrest.,Director Liability / Personal Risk,General,,,,gemini · usecase-3,present_but_weak,warning_callout,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached
n15,A report on directors' conduct is submitted to the Secretary of State (Insolvency Service) within three months of the insolvency.,Timeline / Duration,General,,three months,,gemini · usecase-3,missing,comparison_table_cell,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached
n16,"Fraudulent trading involves carrying on the company's business with the intent to defraud creditors or for any other fraudulent purpose, requiring proof of actual dishonesty and real moral blame.",Definition / Terminology,Fraudulent Trading,"Section 213, Insolvency Act 1986; Section 993, Companies Act 2006",,,gemini · usecase-3,missing,definition_block,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached
n17,"Fraudulent trading is both a civil and a criminal offence, leading to unlimited personal financial contributions, criminal charges, imprisonment for up to 10 years, and disqualification as a director.",Director Liability / Personal Risk,Fraudulent Trading,"Section 213, Insolvency Act 1986; Section 993, Companies Act 2006",up to 10 years,,gemini · usecase-3,missing,warning_callout,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached
n18,"Misfeasance claims can be brought against a director for misuse of company assets, unlawful dividends or excessive remuneration, preferential payments, or neglect of creditor interests when insolvency is probable.",Director Liability / Personal Risk,Misfeasance,"Section 212, Insolvency Act 1986",,,gemini · usecase-3,missing,warning_callout,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached
n19,"There is a time limit of six years for bringing a misfeasance claim against a director, starting from the date of the misfeasance or breach of duty.",Timeline / Duration,Misfeasance,"Section 212, Insolvency Act 1986",6 years,,gemini · usecase-3,missing,comparison_table_cell,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached
n20,"For a Members' Voluntary Liquidation (MVL), the company must be able to repay all its debts and liabilities, with interest, in full within 12 months.",Eligibility / Criteria,Members' Voluntary Liquidation (MVL),,12 months,,gemini · usecase-4,missing,comparison_table_column,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached
n21,"For a Members' Voluntary Liquidation (MVL), the Declaration of Solvency must be signed no more than five weeks before the shareholders' meeting.",Timeline / Duration,Members' Voluntary Liquidation (MVL),Declaration of Solvency,five weeks,,gemini · usecase-4,missing,comparison_table_cell,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached
n22,"Members' Voluntary Liquidations (MVLs) are often cost-effective for businesses with retained profits exceeding £25,000, due to potential Capital Gains Tax rates and Business Asset Disposal Relief (BADR).",Cost / Fees,Members' Voluntary Liquidation (MVL),Business Asset Disposal Relief (BADR),"£25,000",,gemini · usecase-4,missing,comparison_table_cell,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached
n23,A Creditors' Voluntary Liquidation (CVL) is appropriate for an insolvent company that cannot pay its debts as they fall due (cash flow insolvency) or where its liabilities exceed its assets (balance sheet insolvency).,Definition / Terminology,Creditors' Voluntary Liquidation (CVL),,,,gemini · usecase-4,missing,definition_block,,medium,False,False,False,,unverified,,,,,
n24,"Choosing a Creditors' Voluntary Liquidation (CVL) allows directors more control over the process and demonstrates responsible action, potentially mitigating personal liability, compared to compulsory liquidation.",Director Liability / Personal Risk,Creditors' Voluntary Liquidation (CVL),,,,gemini · usecase-4,missing,warning_callout,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached
n25,A Company Voluntary Arrangement (CVA) resolution is invalid if more than half of the total value of unconnected creditors (those not related to the company) vote against it.,Process / Steps,Company Voluntary Arrangement (CVA),,more than half,,gemini · usecase-4,missing,process_steps,,medium,False,False,False,,unverified,,,,,
n26,"Informal arrangements with creditors, such as 'Time-to-Pay' arrangements with HMRC, are not legally binding and can be cancelled by either party at any time.",Risks / Pitfalls,Informal Arrangements with Creditors,Time-to-Pay (TTP),,,gemini · usecase-4,missing,warning_callout,,medium,True,True,True,,manual_review,,,,,skipped: per-run verification budget reached
